"","mode","price.beach","price.pier","price.boat","price.charter","catch.beach","catch.pier","catch.boat","catch.charter","income","fold","logincome"
"27","pier",50.32,50.32,49.062,73.062,0.1049,0.0451,0.1574,0.4671,4583.332,5,8.43018152351747
"28","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,7,8.86549965509619
"29","charter",70.074,70.074,10.534,45.534,0.5333,0.4522,0.0156,0.0058,1249.9998,6,7.13089867029633
"30","charter",131.274,131.274,19.734,54.734,0.5333,0.4522,0.0156,0.0058,2916.6666,1,7.97819666782641
"31","charter",28.314,28.314,19.734,43.734,0.1049,0.0451,0.0023,0.0046,2916.6666,9,7.97819666782641
"32","charter",49.062,49.062,11.322,35.322,0.1049,0.0079,0.0613,0.3087,4583.332,5,8.43018152351747
"33","boat",33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,6,7.97819666782641
"34","beach",9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3749.9999,5,8.22951109229779
"35","pier",25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,1,7.64172439006234
"36","charter",144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666,1,7.97819666782641
"37","pier",120.004,120.004,252.64,281.64,0.0678,0.0789,0.0014,0.0029,12499.998,5,9.43348376329038
"38","boat",25.648,25.648,80.608,105.608,0.2537,0.1498,0.0531,0.0052,1249.9998,5,7.13089867029633
"39","charter",115.808,115.808,25.004,60.004,0.5333,0.4522,0.0156,0.0058,2083.3332,6,7.64172439006234
"40","pier",32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2916.6666,10,7.97819666782641
"41","boat",10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,6,7.97819666782641
"42","charter",10.296,10.296,54.912,89.912,0.0678,0.0789,0.0897,1.0905,2916.6666,8,7.97819666782641
"43","boat",231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4583.332,7,8.43018152351747
"44","charter",59.248,59.248,186.208,211.208,0.2537,0.1498,0.7369,2.3101,3749.9999,7,8.22951109229779
"45","charter",231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4583.332,6,8.43018152351747
"46","pier",19.896,19.896,89.532,118.532,0.0678,0.0789,0.0014,0.0029,6250.0013,7,8.74033695073043
"47","charter",341.872,341.872,22.296,57.296,0.5333,0.4522,0.2413,1.0266,7083.3317,10,8.86549965509619
"48","charter",80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998,6,7.13089867029633
"49","beach",24.334,24.334,89.93,118.93,0.0678,0.0789,0.1643,0.5391,3749.9999,6,8.22951109229779
"50","beach",11.322,11.322,93.092,122.092,0.0678,0.0789,0.1643,0.5391,4583.332,3,8.43018152351747
"51","charter",177.744,177.744,9.522,44.522,0.5333,0.4522,0.0156,0.0058,3749.9999,6,8.22951109229779
"52","pier",5.922,5.922,48.692,77.692,0.0678,0.0789,0.1643,0.5391,2083.3332,3,7.64172439006234
"53","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,8,8.22951109229779
"54","boat",70.074,70.074,10.534,45.534,0.5333,0.0069,0.0361,0.4216,1249.9998,8,7.13089867029633
"55","charter",41.514,41.514,28.934,52.934,0.1049,0.0079,0.0613,0.3087,4583.332,6,8.43018152351747
"56","charter",21.714,21.714,15.134,39.134,0.1049,0.0451,0.0023,0.0046,2083.3332,5,7.64172439006234
"57","charter",144.144,144.144,7.722,42.722,0.5333,0.4522,0.0156,0.0058,2916.6666,6,7.97819666782641
"58","boat",25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,1,7.64172439006234
"59","boat",244.944,244.944,13.122,48.122,0.5333,0.4522,0.0156,0.0058,5416.6667,2,8.59723590524362
"60","charter",144.144,144.144,7.722,42.722,0.5333,0.4522,0.2413,1.0266,2916.6666,3,7.97819666782641
"61","pier",5.922,5.922,48.692,77.692,0.0678,0.0789,0.0014,0.0029,2083.3332,6,7.64172439006234
"62","pier",93.092,93.092,93.092,118.092,0.0678,0.0503,0.2601,0.5391,4583.332,3,8.43018152351747
"63","charter",177.744,177.744,9.522,44.522,0.5333,0.0069,0.0361,0.4216,3749.9999,7,8.22951109229779
"64","boat",41.262,41.262,9.522,33.522,0.1049,0.0451,0.1574,0.4671,3749.9999,2,8.22951109229779
"65","pier",9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,5,8.22951109229779
"66","charter",76.944,76.944,4.122,39.122,0.5333,0.4522,0.2413,1.0266,1249.9998,10,7.13089867029633
"67","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,7,8.22951109229779
"68","charter",177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999,9,8.22951109229779
"69","boat",244.944,244.944,13.122,48.122,0.5333,0.4522,0.2413,1.0266,5416.6667,5,8.59723590524362
"70","pier",33.462,33.462,7.722,31.722,0.1049,0.0451,0.1574,0.4671,2916.6666,2,7.97819666782641
"71","boat",33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,8,7.97819666782641
"72","charter",5.922,5.922,25.662,60.662,0.0678,0.0789,0.0102,0.0209,2083.3332,9,7.64172439006234
"73","charter",345.744,345.744,18.522,53.522,0.5333,0.4522,0.1665,0.3975,7916.6663,6,8.97672547447889
"74","boat",244.944,244.944,13.122,48.122,0.5333,0.0069,0.0361,0.4216,5416.6667,5,8.59723590524362
"75","boat",64.662,64.662,14.922,38.922,0.1049,0.0451,0.0023,0.0046,6250.0013,8,8.74033695073043
"76","beach",9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,3,8.22951109229779
"77","beach",24.696,24.696,111.132,140.132,0.0678,0.0789,0.1643,0.5391,7916.6663,4,8.97672547447889
"78","boat",33.892,33.892,33.892,58.892,0.0678,0.0503,0.2601,0.5391,1249.9998,6,7.13089867029633
"79","charter",144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666,5,7.97819666782641
"80","boat",110.544,110.544,5.922,40.922,0.5333,0.4522,0.2413,1.0266,2083.3332,2,7.64172439006234
"81","charter",76.944,76.944,4.122,39.122,0.5333,0.4522,0.0156,0.0058,1249.9998,7,7.13089867029633
"82","beach",7.722,7.722,63.492,92.492,0.0678,0.0789,0.0014,0.0029,2916.6666,6,7.97819666782641
"83","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999,10,8.22951109229779
"84","boat",17.862,17.862,4.122,28.122,0.1049,0.0451,0.1574,0.4671,1249.9998,6,7.13089867029633
"85","charter",33.462,33.462,33.462,51.962,0.2537,0.0014,0.0626,0.2773,2916.6666,2,7.97819666782641
"86","boat",8.514,8.514,39.474,64.474,0.2537,0.1498,0.6817,2.3014,416.66668,1,6.03228657362824
"87","charter",38.134,38.134,54.714,89.714,0.0678,0.0789,0.0559,0.6456,6250.0013,4,8.74033695073043
"88","boat",24.334,24.334,34.914,69.914,0.0678,0.0789,0.0897,1.0905,3749.9999,6,8.22951109229779
"89","pier",100.674,100.674,15.134,50.134,0.5333,0.4522,0.2413,1.0266,2083.3332,8,7.64172439006234
"90","pier",104.214,104.214,104.214,122.714,0.2537,0.1498,0.2339,0.6288,12499.998,10,9.43348376329038
"91","charter",161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999,10,8.22951109229779
"92","charter",48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667,5,8.59723590524362
"93","boat",64.662,64.662,66.32,101.32,0.0678,0.0789,0.0102,0.0209,6250.0013,9,8.74033695073043
"94","charter",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0102,0.0209,7083.3317,5,8.86549965509619
"95","boat",422.984,422.984,111.462,146.462,0.5333,0.4522,0.0051,1.0266,11250.001,6,9.32812349652145
"96","charter",56.862,56.862,58.32,93.32,0.0678,0.0789,0.0102,0.0209,5416.6667,6,8.59723590524362
"97","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,7,8.86549965509619
"98","charter",210.566,210.566,49.74,79.24,0.0678,0.0052,0.0732,0.1726,6250.0013,9,8.74033695073043
"99","pier",43.74,43.74,52.488,70.988,0.2537,0.1498,0.2339,0.6288,5416.6667,6,8.59723590524362
"100","beach",31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999,2,8.22951109229779
"101","beach",19.74,19.74,23.688,42.188,0.2537,0.1498,0.2339,0.6288,2083.3332,8,7.64172439006234
"102","pier",31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999,2,8.22951109229779
"103","charter",55.77,55.77,25.74,60.74,0.0678,0.0025,0.0108,0.2377,2916.6666,9,7.97819666782641
"104","charter",42.77,42.77,19.74,54.74,0.0678,0.0789,0.0559,0.6456,2083.3332,3,7.64172439006234
"105","charter",261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663,4,8.97672547447889
"106","charter",268.702,268.702,146.77,181.77,0.5333,0.4522,0.1665,0.3975,8750.001,10,9.07680909363737
"107","charter",55.74,55.74,221.102,246.102,0.2537,0.1498,0.6817,2.3014,7083.3317,9,8.86549965509619
"108","charter",159.766,159.766,37.74,67.24,0.0678,0.0052,0.0732,0.1726,4583.332,9,8.43018152351747
"109","pier",16.77,16.77,32.766,61.766,0.0678,0.0789,0.1643,0.5391,416.66668,7,6.03228657362824
"110","boat",125.902,125.902,68.77,103.77,0.5333,0.4522,0.2413,1.0266,3749.9999,3,8.22951109229779
"111","boat",56.862,56.862,58.32,93.32,0.0678,0.0025,0.0108,0.2377,5416.6667,3,8.59723590524362
"112","charter",25.662,25.662,26.32,61.32,0.0678,0.0025,0.0108,0.2377,2083.3332,2,7.64172439006234
"113","charter",46.258,46.258,18.32,47.82,0.0678,0.0052,0.0732,0.1726,1249.9998,6,7.13089867029633
"114","beach",42.32,42.32,42.32,60.82,0.2537,0.1498,0.0233,0.0219,3749.9999,3,8.22951109229779
"115","charter",64.662,64.662,66.32,101.32,0.0678,0.0789,0.0559,0.6456,6250.0013,7,8.74033695073043
"116","charter",42.32,42.32,41.262,65.262,0.1049,0.0451,0.1574,0.4671,3749.9999,2,8.22951109229779
"117","boat",58.32,58.32,58.32,76.82,0.2537,0.1498,0.0233,0.0219,5416.6667,7,8.59723590524362
"118","charter",77.234,77.234,73.002,108.002,0.0678,0.0789,0.0102,0.0209,3749.9999,5,8.22951109229779
"119","charter",150.15,150.15,62.634,97.634,0.5333,0.4522,0.2413,1.0266,2916.6666,9,7.97819666782641
"120","charter",135.634,135.634,267.552,296.552,0.0678,0.0789,0.1643,0.0041,7083.3317,7,8.86549965509619
"121","beach",73.002,73.002,73.002,91.502,0.2537,0.1498,0.2339,0.6288,3749.9999,7,8.22951109229779
"122","boat",205.27,205.27,94.74,129.74,0.0678,0.0789,0.0897,1.0905,12499.998,8,9.43348376329038
"123","charter",55.77,55.77,25.74,60.74,0.0678,0.0789,0.0897,1.0905,2916.6666,7,7.97819666782641
"124","beach",61.74,61.74,74.088,92.588,0.2537,0.1498,0.2339,0.6288,7916.6663,1,8.97672547447889
"125","boat",120.77,120.77,55.74,90.74,0.0678,0.0789,0.0102,0.0209,7083.3317,2,8.86549965509619
"126","charter",146.77,146.77,67.74,102.74,0.0678,0.0789,0.0102,0.0209,8750.001,1,9.07680909363737
"127","pier",55.74,55.74,66.888,85.388,0.2537,0.1498,0.2339,0.6288,7083.3317,10,8.86549965509619
"128","charter",134.366,134.366,31.74,61.24,0.0678,0.0052,0.0732,0.1726,3749.9999,4,8.22951109229779
"129","pier",49.74,49.74,59.688,78.188,0.2537,0.1498,0.2339,0.6288,6250.0013,10,8.74033695073043
"130","boat",205.27,205.27,94.74,129.74,0.0678,0.0789,0.0102,0.0209,12499.998,2,9.43348376329038
"131","boat",205.27,205.27,94.74,129.74,0.0678,0.0025,0.0108,0.2377,12499.998,5,9.43348376329038
"132","charter",107.77,107.77,49.74,84.74,0.0678,0.0789,0.0559,0.6456,6250.0013,5,8.74033695073043
"133","boat",261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663,5,8.97672547447889
"134","boat",108.966,108.966,25.74,55.24,0.0678,0.0503,0.0143,0.0289,2916.6666,6,7.97819666782641
"135","boat",286.766,286.766,67.74,97.24,0.0678,0.0503,0.0143,0.0289,8750.001,8,9.07680909363737
"136","boat",375.802,375.802,205.27,240.27,0.5333,0.4522,0.0156,0.0058,12499.998,5,9.43348376329038
"137","charter",68.77,68.77,31.74,66.74,0.0678,0.0025,0.0108,0.2377,3749.9999,6,8.22951109229779
"138","charter",68.77,68.77,31.74,66.74,0.0678,0.0789,0.0559,0.6456,3749.9999,1,8.22951109229779
"139","charter",67.784,67.784,17.862,52.862,0.5333,0.0069,0.0361,0.4216,1249.9998,1,7.13089867029633
"140","charter",186.184,186.184,49.062,84.062,0.5333,0.4522,0.2413,1.0266,4583.332,6,8.43018152351747
"141","boat",66.32,66.32,66.32,84.82,0.2537,0.1498,0.2339,0.6288,6250.0013,2,8.74033695073043
"142","charter",38.184,38.184,10.062,45.062,0.5333,0.4522,0.1665,0.3975,416.66668,2,6.03228657362824
"143","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,10,8.86549965509619
"144","charter",49.062,49.062,50.32,85.32,0.0678,0.0025,0.0108,0.2377,4583.332,3,8.43018152351747
"145","boat",333.258,333.258,94.506,129.506,0.5333,0.4522,0.2413,1.0266,6250.0013,9,8.74033695073043
"146","charter",85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3749.9999,2,8.22951109229779
"147","charter",166.698,166.698,166.698,185.198,0.2537,0.0014,0.0626,0.2773,7916.6663,9,8.97672547447889
"148","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332,7,8.43018152351747
"149","boat",128.706,128.706,182.898,217.898,0.0678,0.0789,0.0897,1.0905,8750.001,7,9.07680909363737
"150","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,1,8.22951109229779
"151","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999,3,8.22951109229779
"152","charter",92.058,92.058,26.106,61.106,0.5333,0.4522,0.0156,0.0058,1249.9998,7,7.13089867029633
"153","boat",139.35,139.35,63.172,87.172,0.1049,0.0079,0.0613,0.3087,7083.3317,3,8.86549965509619
"154","boat",109.35,109.35,49.572,73.572,0.1049,0.0079,0.0613,0.3087,5416.6667,8,8.59723590524362
"155","boat",323.31,323.31,56.372,91.372,0.5333,0.4522,0.2413,1.0266,6250.0013,3,8.74033695073043
"156","boat",71.214,71.214,71.214,96.214,0.0678,0.0503,0.0276,0.0029,2916.6666,8,7.97819666782641
"157","boat",94.35,94.35,42.772,66.772,0.1049,0.0451,0.1574,0.4671,4583.332,7,8.43018152351747
"158","charter",109.35,109.35,49.572,73.572,0.1049,0.0451,0.0023,0.0046,5416.6667,6,8.59723590524362
"159","pier",49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667,2,8.59723590524362
"160","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,2,8.22951109229779
"161","charter",245.31,245.31,42.772,77.772,0.5333,0.4522,0.0051,1.0266,4583.332,10,8.43018152351747
"162","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,9,8.22951109229779
"163","charter",64.35,64.35,167.31,192.31,0.2537,0.1498,0.6817,2.3014,2916.6666,9,7.97819666782641
"164","beach",42.772,42.772,104.414,133.414,0.0678,0.0789,0.1643,0.5391,4583.332,9,8.43018152351747
"165","charter",323.31,323.31,56.372,91.372,0.5333,0.0069,0.0361,0.4216,6250.0013,2,8.74033695073043
"166","beach",15.572,15.572,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1249.9998,4,7.13089867029633
"167","boat",71.214,71.214,71.214,96.214,0.0678,0.0503,0.2601,0.5391,2916.6666,9,7.97819666782641
"168","boat",104.414,104.414,94.35,123.85,0.0678,0.0503,0.0143,0.0289,4583.332,9,8.43018152351747
"169","beach",124.35,124.35,124.35,142.85,0.2537,0.1498,0.2339,0.6288,6250.0013,9,8.74033695073043
"170","charter",104.414,104.414,104.414,129.414,0.0678,0.0503,0.2601,0.5391,4583.332,5,8.43018152351747
"171","boat",175.748,175.748,175.748,194.248,0.2537,0.1498,0.0233,0.0219,6250.0013,8,8.74033695073043
"172","boat",335.34,335.34,72.9,107.9,0.5333,0.0069,0.0361,0.4216,5416.6667,10,8.59723590524362
"173","charter",243.34,243.34,52.9,87.9,0.5333,0.4522,0.0156,0.0058,3749.9999,5,8.22951109229779
"174","beach",22.372,22.372,54.614,83.614,0.0678,0.0789,0.1643,0.5391,2083.3332,9,7.64172439006234
"175","charter",206.31,206.31,35.972,70.972,0.5333,0.0069,0.0361,0.4216,3749.9999,6,8.22951109229779
"176","charter",29.172,29.172,64.35,99.35,0.0678,0.0789,0.0897,1.0905,2916.6666,4,7.97819666782641
"177","boat",323.31,323.31,56.372,91.372,0.5333,0.4522,0.0051,1.0266,6250.0013,2,8.74033695073043
"178","charter",35.972,35.972,79.35,114.35,0.0678,0.0789,0.0559,0.6456,3749.9999,4,8.22951109229779
"179","boat",362.31,362.31,63.172,98.172,0.5333,0.4522,0.2413,1.0266,7083.3317,5,8.86549965509619
"180","charter",71.214,71.214,64.35,93.85,0.0678,0.0503,0.1082,0.324,2916.6666,4,7.97819666782641
"181","beach",49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667,1,8.59723590524362
"182","charter",151.008,151.008,32.604,67.604,0.5333,0.4522,0.2413,1.0266,2916.6666,3,7.97819666782641
"183","charter",186.208,186.208,40.204,75.204,0.5333,0.4522,0.2413,1.0266,3749.9999,4,8.22951109229779
"184","boat",92.058,92.058,26.106,61.106,0.5333,0.0069,0.0361,0.4216,1249.9998,4,7.13089867029633
"185","boat",37.506,37.506,57.904,86.904,0.0678,0.0789,0.0014,0.0029,2083.3332,4,7.64172439006234
"186","charter",132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332,2,7.64172439006234
"187","charter",252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4583.332,9,8.43018152351747
"188","boat",252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4583.332,5,8.43018152351747
"189","beach",34.914,34.914,34.914,53.414,0.2537,0.1498,0.2339,0.6288,3749.9999,5,8.22951109229779
"190","charter",63.004,63.004,92.848,127.848,0.0678,0.0789,0.0102,0.0209,6250.0013,5,8.74033695073043
"191","charter",137.648,137.648,93.404,117.404,0.1049,0.0079,0.0613,0.3087,9583.3357,9,9.16778100451388
"192","charter",221.408,221.408,47.804,82.804,0.5333,0.4522,0.0051,1.0266,4583.332,4,8.43018152351747
"193","boat",206.31,206.31,35.972,70.972,0.5333,0.4522,0.1665,0.3975,3749.9999,6,8.22951109229779
"194","pier",21.714,21.714,21.714,40.214,0.2537,0.1498,0.2339,0.6288,2083.3332,6,7.64172439006234
"195","charter",10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998,1,7.13089867029633
"196","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999,5,8.22951109229779
"197","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.1665,0.3975,4583.332,10,8.43018152351747
"198","pier",75.504,75.504,75.504,100.504,0.0678,0.0503,0.2601,0.5391,2916.6666,3,7.97819666782641
"199","charter",26.106,26.106,37.098,72.098,0.0678,0.0025,0.0108,0.2377,1249.9998,4,7.13089867029633
"200","charter",22.704,22.704,20.898,50.398,0.0678,0.0503,0.0016,0.1176,416.66668,8,6.03228657362824
"201","boat",71.706,71.706,101.898,136.898,0.0678,0.0789,0.0559,0.6456,4583.332,6,8.43018152351747
"202","beach",117.306,117.306,181.104,210.104,0.0678,0.0789,0.1643,0.5391,7916.6663,3,8.97672547447889
"203","charter",453.858,453.858,128.706,163.706,0.5333,0.0069,0.0361,0.4216,8750.001,6,9.07680909363737
"204","pier",26.106,26.106,40.304,69.304,0.0678,0.0025,0.0499,0.2421,1249.9998,2,7.13089867029633
"205","charter",132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332,9,7.64172439006234
"206","boat",69.498,69.498,69.498,87.998,0.2537,0.1498,0.2339,0.6288,2916.6666,6,7.97819666782641
"207","boat",69.498,69.498,48.906,72.906,0.1049,0.0451,0.0023,0.0046,2916.6666,1,7.97819666782641
"208","boat",70.448,70.448,47.804,71.804,0.1049,0.0451,0.1574,0.4671,4583.332,10,8.43018152351747
"209","charter",116.64,116.64,116.64,141.64,0.0678,0.0503,0.0276,0.0029,5416.6667,10,8.59723590524362
"210","pier",47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4583.332,8,8.43018152351747
"211","charter",80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998,4,7.13089867029633
"212","charter",115.248,115.248,362.208,387.208,0.2537,0.1498,0.6817,2.3014,7916.6663,8,8.97672547447889
"213","charter",291.808,291.808,63.004,98.004,0.5333,0.4522,0.0156,0.0058,6250.0013,5,8.74033695073043
"214","pier",32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2916.6666,10,7.97819666782641
"215","charter",36.64,36.64,36.64,61.64,0.0678,0.0052,0.1491,0.2421,1249.9998,7,7.13089867029633
"216","charter",39.474,39.474,5.934,40.934,0.5333,0.4522,0.2413,1.0266,416.66668,9,6.03228657362824
"217","beach",120.004,120.004,252.64,281.64,0.0678,0.0789,0.1643,0.5391,12499.998,10,9.43348376329038
"218","charter",100.674,100.674,15.134,50.134,0.5333,0.4522,0.0156,0.0058,2083.3332,4,7.64172439006234
"219","charter",223.074,223.074,33.534,68.534,0.5333,0.4522,0.0156,0.0058,5416.6667,8,8.59723590524362
"220","charter",161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999,5,8.22951109229779
"221","charter",453.858,453.858,128.706,163.706,0.5333,0.4522,0.2413,1.0266,8750.001,7,9.07680909363737
"222","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332,3,8.43018152351747
"223","boat",255.798,255.798,180.006,204.006,0.1049,0.0451,0.1574,0.4671,12499.998,7,9.43348376329038
"224","charter",71.706,71.706,110.704,139.704,0.0678,0.0789,0.0971,0.1648,4583.332,2,8.43018152351747
"225","boat",92.058,92.058,26.106,61.106,0.5333,0.4522,0.2413,1.0266,1249.9998,2,7.13089867029633
"226","charter",81.648,81.648,55.404,79.404,0.1049,0.0451,0.1574,0.4671,5416.6667,5,8.59723590524362
"227","pier",47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4583.332,9,8.43018152351747
"228","charter",221.408,221.408,47.804,82.804,0.5333,0.0069,0.0361,0.4216,4583.332,2,8.43018152351747
"229","charter",10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998,5,7.13089867029633
"230","pier",5.922,5.922,5.922,30.922,0.0678,0.0503,0.2601,0.5391,2083.3332,9,7.64172439006234
"231","pier",11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4583.332,10,8.43018152351747
"232","pier",6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4583.332,2,8.43018152351747
"233","boat",17.986,17.986,17.986,46.986,0.0678,0.0789,0.0014,0.0029,3749.9999,8,8.22951109229779
"234","charter",17.986,17.986,17.986,42.986,0.0678,0.0503,0.023,0.1648,3749.9999,5,8.22951109229779
"235","charter",17.986,17.986,17.986,46.986,0.0678,0.0789,0.1643,0.5391,3749.9999,8,8.22951109229779
"236","boat",45.186,45.186,45.186,70.186,0.0678,0.0503,0.2601,0.5391,10416.666,8,9.25116230249644
"237","beach",21.386,21.386,21.386,46.386,0.0678,0.0052,0.1491,0.2421,4583.332,4,8.43018152351747
"238","beach",9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3749.9999,6,8.22951109229779
"239","boat",316.342,316.342,51.842,86.842,0.5333,0.4522,0.2413,1.0266,3749.9999,4,8.22951109229779
"240","boat",32.242,32.242,5.922,34.922,0.0678,0.0789,0.0014,0.0029,2083.3332,3,7.64172439006234
